id,Actor1,Actor2,Actor3,Director_Name,original_title,genres_list,Comb
10906,Edward Furlong,Anthony Edwards,Clancy Brown,Mary Lambert,Pet Sematary II,Horror,Edward Furlong Anthony Edwards Clancy Brown Mary Lambert Horror
10907,Errol Flynn,Olivia de Havilland,Basil Rathbone,Michael Curtiz William Keighley,The Adventures of Robin Hood,Action Adventure Romance,Errol Flynn Olivia de Havilland Basil Rathbone Michael Curtiz William Keighley Action Adventure Romance
10909,Brad Pitt,David Duchovny,Juliette Lewis,Dominic Sena,Kalifornia,Thriller Crime,Brad Pitt David Duchovny Juliette Lewis Dominic Sena Thriller Crime
10910,José Ferrer,Colette Marchand,Zsa Zsa Gábor,John Huston,Moulin Rouge,Drama Music,José Ferrer Colette Marchand Zsa Zsa Gábor John Huston Drama Music
10911,Gregory Peck,David Niven,Anthony Quinn,J. Lee Thompson,The Guns of Navarone,Action Adventure Drama War,Gregory Peck David Niven Anthony Quinn J. Lee Thompson Action Adventure Drama War
10912,Richard Thomas,Ernest Borgnine,Donald Pleasence,Delbert Mann,All Quiet on the Western Front,Drama History War,Richard Thomas Ernest Borgnine Donald Pleasence Delbert Mann Drama History War
10913,Jamie Bell,Bill Pullman,Michael Angarano,Thomas Vinterberg,Dear Wendy,Comedy Crime Drama Romance,Jamie Bell Bill Pullman Michael Angarano Thomas Vinterberg Comedy Crime Drama Romance
10915,Terence Hill,Miou-Miou,Robert Charlebois,Damiano Damiani,"Un genio, due compari, un pollo",Comedy Western,Terence Hill Miou-Miou Robert Charlebois Damiano Damiani Comedy Western
10916,Bruce Boxleitner,Jerry Doyle,Jeff Conaway,Michael Vejar,Babylon 5: A Call to Arms,Action Drama Sci-Fi Adventure,Bruce Boxleitner Jerry Doyle Jeff Conaway Michael Vejar Action Drama Sci-Fi Adventure
10917,Juliette Lewis,Brad Pitt,Michael Tucker,Robert Markowitz,Too Young to Die?,Crime Drama,Juliette Lewis Brad Pitt Michael Tucker Robert Markowitz Crime Drama
10918,Brenda Blethyn,Alfred Molina,Christopher Walken,Nick Hurran,Plots with a View,Comedy Romance,Brenda Blethyn Alfred Molina Christopher Walken Nick Hurran Comedy Romance
10921,Jerry Doyle,Tracy Scoggins,Jeff Conaway,Janet Greek,Babylon 5: The River of Souls,Action Drama Sci-Fi Adventure,Jerry Doyle Tracy Scoggins Jeff Conaway Janet Greek Action Drama Sci-Fi Adventure
10922,Anthony Hopkins,Nicole Kidman,Ed Harris,Robert Benton,The Human Stain,Drama Thriller Romance,Anthony Hopkins Nicole Kidman Ed Harris Robert Benton Drama Thriller Romance
10923,Frankie Muniz,Hilary Duff,Angie Harmon,Harald Zwart,Agent Cody Banks,Action,Frankie Muniz Hilary Duff Angie Harmon Harald Zwart Action
10925,Clu Gulager,James Karen,Don Calfa,Dan O'Bannon,The Return of the Living Dead,Comedy Horror,Clu Gulager James Karen Don Calfa Dan O'Bannon Comedy Horror
10929,Crispin Glover,R. Lee Ermey,Laura Harring,Glen Morgan,Willard,Horror,Crispin Glover R. Lee Ermey Laura Harring Glen Morgan Horror
10930,Benoît Magimel,Mélanie Doutey,Suzanne Flon,Claude Chabrol,La fleur du mal,Drama,Benoît Magimel Mélanie Doutey Suzanne Flon Claude Chabrol Drama
10934,Diane Lane,Sandra Oh,Lindsay Duncan,Audrey Wells,Under the Tuscan Sun,Romance,Diane Lane Sandra Oh Lindsay Duncan Audrey Wells Romance
10935,Kris Kristofferson,Christopher Walken,John Hurt,Michael Cimino,Heaven's Gate,Action Drama History Western,Kris Kristofferson Christopher Walken John Hurt Michael Cimino Action Drama History Western
10937,Mickey Rourke,Faye Dunaway,Alice Krige,Barbet Schroeder,Barfly,Comedy Drama Romance,Mickey Rourke Faye Dunaway Alice Krige Barbet Schroeder Comedy Drama Romance
10938,Linda Henry,Glen Berry,Scott Neal,Hettie MacDonald,Beautiful Thing,Comedy Drama Romance,Linda Henry Glen Berry Scott Neal Hettie MacDonald Comedy Drama Romance
10939,Pierre Richard,Jean Carmet,Jean Rochefort,Yves Robert,Le retour du grand blond,Comedy,Pierre Richard Jean Carmet Jean Rochefort Yves Robert Comedy
10940,Bruce Boxleitner,Mira Furlan,Richard Biggs,Michael Vejar,Babylon 5: In the Beginning,Action Drama Sci-Fi Adventure,Bruce Boxleitner Mira Furlan Richard Biggs Michael Vejar Action Drama Sci-Fi Adventure
10941,Bruce Boxleitner,Claudia Christian,Mira Furlan,Jesús Salvador Treviño,Babylon 5: Thirdspace,Action Drama Sci-Fi Adventure,Bruce Boxleitner Claudia Christian Mira Furlan Jesús Salvador Treviño Action Drama Sci-Fi Adventure
10942,Michael O’Hare,Tamlyn Tomita,Jerry Doyle,Richard Compton,Babylon 5: The Gathering,Sci-Fi Action Adventure,Michael O’Hare Tamlyn Tomita Jerry Doyle Richard Compton Sci-Fi Action Adventure
10943,Christina Ricci,Ioan Gruffudd,Stephen Dillane,Brian Gilbert,The Gathering,Horror Thriller,Christina Ricci Ioan Gruffudd Stephen Dillane Brian Gilbert Horror Thriller
10944,Meg Ryan,Mark Ruffalo,Jennifer Jason Leigh,Jane Campion,In the Cut,Mystery Thriller,Meg Ryan Mark Ruffalo Jennifer Jason Leigh Jane Campion Mystery Thriller
10945,Whoopi Goldberg,Stephen Collins,Jonathan Pryce,Penny Marshall,Jumpin' Jack Flash,Romance Comedy Thriller,Whoopi Goldberg Stephen Collins Jonathan Pryce Penny Marshall Romance Comedy Thriller
10946,Patrick Stewart,Constantino Romero,James Earl Jones,Alastair Fothergill Mark Linfield,Earth,Documentary,Patrick Stewart Constantino Romero James Earl Jones Alastair Fothergill Mark Linfield Documentary
10947,Zac Efron,Vanessa Hudgens,Ashley Tisdale,Kenny Ortega,High School Musical,Comedy Drama Family Music TV Movie,Zac Efron Vanessa Hudgens Ashley Tisdale Kenny Ortega Comedy Drama Family Music TV Movie
10948,Mickey Rooney,Kurt Russell,Pearl Bailey,Ted Berman Art Stevens Richard Rich,The Fox and the Hound,Adventure Animation Drama Family,Mickey Rooney Kurt Russell Pearl Bailey Ted Berman Art Stevens Richard Rich Adventure Animation Drama Family
10949,John Howard Davies,Robert Newton,Alec Guinness,David Lean,Oliver Twist,Adventure Drama Family,John Howard Davies Robert Newton Alec Guinness David Lean Adventure Drama Family
10950,Sean Penn,Michelle Pfeiffer,Dianne Wiest,Jessie Nelson,I Am Sam,Drama,Sean Penn Michelle Pfeiffer Dianne Wiest Jessie Nelson Drama
10951,Jackie Chan,Shu Qi,Tony Leung Chiu-Wai,Vincent Kok,琉璃樽,Adventure Action Comedy Romance,Jackie Chan Shu Qi Tony Leung Chiu-Wai Vincent Kok Adventure Action Comedy Romance
10952,Wesley Snipes,Ice-T,Allen Payne,Mario Van Peebles,New Jack City,Thriller Crime Drama,Wesley Snipes Ice-T Allen Payne Mario Van Peebles Thriller Crime Drama
10954,Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,Gérard Corbiau,Farinelli,History Drama,Stefano Dionisi Enrico Lo Verso Elsa Zylberstein Gérard Corbiau History Drama
10955,John Malkovich,Ray Winstone,Uwe Mansshardt,Liliana Cavani,Ripley's Game,Crime Thriller,John Malkovich Ray Winstone Uwe Mansshardt Liliana Cavani Crime Thriller
10956,David Spade,Brittany Daniel,Dennis Miller,Dennie Gordon,Joe Dirt,Mystery Adventure Comedy Romance Drama,David Spade Brittany Daniel Dennis Miller Dennie Gordon Mystery Adventure Comedy Romance Drama
10957,Grant Bardsley,Susan Sheridan,John Byner,Ted Berman Richard Rich,The Black Cauldron,Animation,Grant Bardsley Susan Sheridan John Byner Ted Berman Richard Rich Animation
10958,Jeffrey Nordling,Brennan Elliott,Kendall Cross,Peter Markle,Flight 93,Drama Thriller TV Movie,Jeffrey Nordling Brennan Elliott Kendall Cross Peter Markle Drama Thriller TV Movie
10960,Miguel Ferrer,William O'Leary,Jensen Daggett,Dick Lowry,Project: ALF,Comedy Family Sci-Fi,Miguel Ferrer William O'Leary Jensen Daggett Dick Lowry Comedy Family Sci-Fi
10961,Nathan Baesel,Angela Goethals,Robert Englund,Scott Glosserman,Behind the Mask: The Rise of Leslie Vernon,Comedy Horror Thriller,Nathan Baesel Angela Goethals Robert Englund Scott Glosserman Comedy Horror Thriller
10970,Mel Brooks,Marty Feldman,Dom DeLuise,Mel Brooks,Silent Movie,Comedy,Mel Brooks Marty Feldman Dom DeLuise Mel Brooks Comedy
10971,Kenneth More,Ronald Allen,Robert Ayres,Roy Ward Baker,A Night to Remember,Drama Action History,Kenneth More Ronald Allen Robert Ayres Roy Ward Baker Drama Action History
10972,Peter Mullan,David Caruso,Stephen Gevedon,Brad Anderson,Session 9,Horror Mystery,Peter Mullan David Caruso Stephen Gevedon Brad Anderson Horror Mystery
10973,Richard Carlson,Julie Adams,Richard Denning,Jack Arnold,Creature from the Black Lagoon,Adventure Horror Sci-Fi,Richard Carlson Julie Adams Richard Denning Jack Arnold Adventure Horror Sci-Fi
10974,Jackie Chan,Alan Tam,Rosamund Kwan,Jackie Chan Eric Tsang,龍兄虎弟,Adventure Action Comedy,Jackie Chan Alan Tam Rosamund Kwan Jackie Chan Eric Tsang Adventure Action Comedy
10975,Jackie Chan,Carol Cheng,Eva Cobo,Jackie Chan,飛鷹計劃,Action Adventure Crime Thriller,Jackie Chan Carol Cheng Eva Cobo Jackie Chan Action Adventure Crime Thriller
10978,Fares Fares,Torkel Petersson,Tuva Novotny,Josef Fares,Jalla! Jalla!,Comedy Drama,Fares Fares Torkel Petersson Tuva Novotny Josef Fares Comedy Drama
10981,David Hewlett,Andrew Miller,Gordon Pinsent,Vincenzo Natali,Nothing,Comedy Fantasy Sci-Fi,David Hewlett Andrew Miller Gordon Pinsent Vincenzo Natali Comedy Fantasy Sci-Fi
10982,Anne Hathaway,Glenn Close,Jim Belushi,Cory Edwards Todd Edwards Tony Leech,Hoodwinked!,Animation Comedy Family,Anne Hathaway Glenn Close Jim Belushi Cory Edwards Todd Edwards Tony Leech Animation Comedy Family
10984,Denise Richards,David Boreanaz,Marley Shelton,Jamie Blanks,Valentine,Horror Thriller,Denise Richards David Boreanaz Marley Shelton Jamie Blanks Horror Thriller
10985,DJ Qualls,Eliza Dushku,Zooey Deschanel,Ed Decter,The New Guy,Comedy Family,DJ Qualls Eliza Dushku Zooey Deschanel Ed Decter Comedy Family
10986,Adriano Celentano,Ornella Muti,Edith Peters,Franco Castellano Giuseppe Moccia,Il bisbetico domato,Comedy,Adriano Celentano Ornella Muti Edith Peters Franco Castellano Giuseppe Moccia Comedy
10987,Donald Pleasence,Paul Rudd,Marianne Hagan,Joe Chappelle,Halloween: The Curse of Michael Myers,Horror Thriller,Donald Pleasence Paul Rudd Marianne Hagan Joe Chappelle Horror Thriller
10988,Sharon Stone,Isabelle Adjani,Chazz Palminteri,Jeremiah S. Chechik,Diabolique,Drama Horror Mystery Thriller,Sharon Stone Isabelle Adjani Chazz Palminteri Jeremiah S. Chechik Drama Horror Mystery Thriller
10989,Victoria Abril,Hilmir Snær Guðnason,Hanna María Karlsdóttir,Baltasar Kormákur,101 Reykjavík,Drama Comedy Romance,Victoria Abril Hilmir Snær Guðnason Hanna María Karlsdóttir Baltasar Kormákur Drama Comedy Romance
10990,Nick Nolte,Melanie Griffith,Chazz Palminteri,Lee Tamahori,Mulholland Falls,Drama Mystery Thriller,Nick Nolte Melanie Griffith Chazz Palminteri Lee Tamahori Drama Mystery Thriller
10991,Veronica Taylor,Rachael Lillis,Eric Stuart,Michael Haigney Kunihiko Yuyama,Pokémon 3: The Movie,Adventure Fantasy Animation Action Family,Veronica Taylor Rachael Lillis Eric Stuart Michael Haigney Kunihiko Yuyama Adventure Fantasy Animation Action Family
10992,Jeff Goldblum,Elizabeth Perkins,Alexander Pollock,Lawrence Guterman,Cats & Dogs,Comedy Family,Jeff Goldblum Elizabeth Perkins Alexander Pollock Lawrence Guterman Comedy Family
10994,Alison Lohman,Michelle Pfeiffer,Cole Hauser,Peter Kosminsky,White Oleander,Drama,Alison Lohman Michelle Pfeiffer Cole Hauser Peter Kosminsky Drama
10995,Jane March,Tony Leung Ka-Fai,Frédérique Meininger,Jean-Jacques Annaud,L'Amant,Drama Romance,Jane March Tony Leung Ka-Fai Frédérique Meininger Jean-Jacques Annaud Drama Romance
10996,Michael J. Fox,Geena Davis,Hugh Laurie,Rob Minkoff,Stuart Little 2,Family Adventure Animation Comedy,Michael J. Fox Geena Davis Hugh Laurie Rob Minkoff Family Adventure Animation Comedy
10997,Leslie Cheung,Gong Li,Zhang Fengyi,Chen Kaige,霸王别姬,Drama,Leslie Cheung Gong Li Zhang Fengyi Chen Kaige Drama
10998,Michael Douglas,Glenn Close,Anne Archer,Adrian Lyne,Fatal Attraction,Romance Drama Thriller Horror Mystery,Michael Douglas Glenn Close Anne Archer Adrian Lyne Romance Drama Thriller Horror Mystery
10999,Arnold Schwarzenegger,Rae Dawn Chong,Dan Hedaya,Mark L. Lester,Commando,Action Adventure Thriller,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya Mark L. Lester Action Adventure Thriller
11000,Robin Williams,Gene Hackman,Nathan Lane,Mike Nichols,The Birdcage,Comedy,Robin Williams Gene Hackman Nathan Lane Mike Nichols Comedy
11001,Martin Lawrence,Luke Wilson,Dave Chappelle,Les Mayfield,Blue Streak,Action Comedy Crime,Martin Lawrence Luke Wilson Dave Chappelle Les Mayfield Action Comedy Crime
11002,Christopher Lambert,Andie MacDowell,Ralph Richardson,Hugh Hudson,"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure Drama Action Romance,Christopher Lambert Andie MacDowell Ralph Richardson Hugh Hudson Adventure Drama Action Romance
11003,Adam Sandler,Drew Barrymore,Christine Taylor,Frank Coraci,The Wedding Singer,Romance Comedy,Adam Sandler Drew Barrymore Christine Taylor Frank Coraci Romance Comedy
11004,Michael Douglas,Tobey Maguire,Frances McDormand,Curtis Hanson,Wonder Boys,Comedy Drama,Michael Douglas Tobey Maguire Frances McDormand Curtis Hanson Comedy Drama
11005,Robert De Niro,Robin Williams,John Heard,Penny Marshall,Awakenings,Drama,Robert De Niro Robin Williams John Heard Penny Marshall Drama
11006,Burt Reynolds,Sally Field,Jerry Reed,Hal Needham,Smokey and the Bandit,Action Adventure Comedy,Burt Reynolds Sally Field Jerry Reed Hal Needham Action Adventure Comedy
11007,Steve Martin,Bonnie Hunt,Piper Perabo,Shawn Levy,Cheaper by the Dozen,Comedy,Steve Martin Bonnie Hunt Piper Perabo Shawn Levy Comedy
11008,Damon Wayans,Orlando Brown,Michael Ironside,Nick Castle,Major Payne,Adventure Comedy Family,Damon Wayans Orlando Brown Michael Ironside Nick Castle Adventure Comedy Family
11009,John Travolta,Karen Lynn Gorney,Barry Miller,John Badham,Saturday Night Fever,Drama Music,John Travolta Karen Lynn Gorney Barry Miller John Badham Drama Music
11010,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Michael Radford,Il postino,Comedy Drama Romance,Philippe Noiret Massimo Troisi Maria Grazia Cucinotta Michael Radford Comedy Drama Romance
11011,Macaulay Culkin,John Larroquette,Edward Herrmann,Donald Petrie,Ri¢hie Ri¢h,Comedy Family,Macaulay Culkin John Larroquette Edward Herrmann Donald Petrie Comedy Family
11012,Jeremy Irons,Juliette Binoche,Miranda Richardson,Louis Malle,Damage,Drama Romance,Jeremy Irons Juliette Binoche Miranda Richardson Louis Malle Drama Romance
11013,James Spader,Maggie Gyllenhaal,Jeremy Davies,Steven Shainberg,Secretary,Comedy Drama Romance,James Spader Maggie Gyllenhaal Jeremy Davies Steven Shainberg Comedy Drama Romance
11015,Penelope Ann Miller,Tom Sizemore,Linda Hunt,Peter Hyams,The Relic,Horror Mystery Thriller,Penelope Ann Miller Tom Sizemore Linda Hunt Peter Hyams Horror Mystery Thriller
11016,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,John Huston,Key Largo,Crime Drama Thriller,Humphrey Bogart Edward G. Robinson Lauren Bacall John Huston Crime Drama Thriller
11017,Adam Sandler,Darren McGavin,Bridgette Wilson,Tamra Davis,Billy Madison,Comedy,Adam Sandler Darren McGavin Bridgette Wilson Tamra Davis Comedy
11018,Mickey Rourke,John Lone,Ariane,Michael Cimino,Year of the Dragon,Action Crime Drama Thriller,Mickey Rourke John Lone Ariane Michael Cimino Action Crime Drama Thriller
11019,Michael Gambon,Pierce Brosnan,Frank Glaubrecht,Alastair Fothergill Andy Byatt,Deep Blue,Documentary,Michael Gambon Pierce Brosnan Frank Glaubrecht Alastair Fothergill Andy Byatt Documentary
11020,Rachel Roberts,Dominic Guard,Helen Morse,Peter Weir,Picnic at Hanging Rock,Thriller Drama Mystery,Rachel Roberts Dominic Guard Helen Morse Peter Weir Thriller Drama Mystery
11022,Jason Patric,Ray Liotta,Chi McBride,Joe Carnahan,Narc,Action Crime Drama Thriller,Jason Patric Ray Liotta Chi McBride Joe Carnahan Action Crime Drama Thriller
11023,Evan Rachel Wood,Nikki Reed,Vanessa Hudgens,Catherine Hardwicke,Thirteen,Crime Drama,Evan Rachel Wood Nikki Reed Vanessa Hudgens Catherine Hardwicke Crime Drama
11024,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,Mystery Fantasy Adventure Comedy,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Raja Gosnell Mystery Fantasy Adventure Comedy
11025,Ashley Olsen,Mary-Kate Olsen,Eugene Levy,Dennie Gordon,New York Minute,Comedy,Ashley Olsen Mary-Kate Olsen Eugene Levy Dennie Gordon Comedy
11026,Stellan Skarsgård,Izabella Scorupco,James D'Arcy,Renny Harlin,Exorcist: The Beginning,Horror Mystery Thriller,Stellan Skarsgård Izabella Scorupco James D'Arcy Renny Harlin Horror Mystery Thriller
11028,Dennis Quaid,Ellen Barkin,Ned Beatty,Jim McBride,The Big Easy,Drama Action Crime Mystery,Dennis Quaid Ellen Barkin Ned Beatty Jim McBride Drama Action Crime Mystery
11030,Woody Allen,Mia Farrow,John Buckwalter,Woody Allen,Zelig,Comedy,Woody Allen Mia Farrow John Buckwalter Woody Allen Comedy
11031,Christopher Guest,Michael McKean,Harry Shearer,Rob Reiner,This Is Spinal Tap,Comedy Music,Christopher Guest Michael McKean Harry Shearer Rob Reiner Comedy Music
11034,Robert Redford,Mia Farrow,Bruce Dern,Jack Clayton,The Great Gatsby,Drama Romance,Robert Redford Mia Farrow Bruce Dern Jack Clayton Drama Romance
11035,Peter Gonzales Falcon,Fiona Florence,Pia De Doses,Federico Fellini,Roma,Comedy Drama,Peter Gonzales Falcon Fiona Florence Pia De Doses Federico Fellini Comedy Drama
11036,Rachel McAdams,Ryan Gosling,Gena Rowlands,Nick Cassavetes,The Notebook,Romance Drama,Rachel McAdams Ryan Gosling Gena Rowlands Nick Cassavetes Romance Drama
11037,"Louis Gossett, Jr.",Jason Gedrick,Tim Thomerson,Sidney J. Furie,Iron Eagle,Action Thriller War,"Louis Gossett, Jr. Jason Gedrick Tim Thomerson Sidney J. Furie Action Thriller War"
11038,Burt Lancaster,Kirk Douglas,Charles Durning,Jeff Kanew,Tough Guys,Comedy Crime,Burt Lancaster Kirk Douglas Charles Durning Jeff Kanew Comedy Crime
11039,Bud Spencer,Cary Guffey,Ferruccio Amendola,Michele Lupo,Chissà Perché... Capitano Tutte A Me,Comedy Sci-Fi,Bud Spencer Cary Guffey Ferruccio Amendola Michele Lupo Comedy Sci-Fi
11040,Dustin Hoffman,Faye Dunaway,Chief Dan George,Arthur Penn,Little Big Man,Adventure Western History,Dustin Hoffman Faye Dunaway Chief Dan George Arthur Penn Adventure Western History
11041,Jim Varney,Diedrich Bader,Эрика Элениак,Penelope Spheeris,The Beverly Hillbillies,Comedy,Jim Varney Diedrich Bader Эрика Элениак Penelope Spheeris Comedy
11042,Rémy Girard,Stéphane Rousseau,Marie-Josée Croze,Denys Arcand,Les Invasions barbares,Comedy Crime Drama,Rémy Girard Stéphane Rousseau Marie-Josée Croze Denys Arcand Comedy Crime Drama
11044,Johnny Depp,Jerry Lewis,Faye Dunaway,Emir Kusturica,Arizona Dream,Fantasy Comedy Drama Romance,Johnny Depp Jerry Lewis Faye Dunaway Emir Kusturica Fantasy Comedy Drama Romance
11045,Queen Latifah,Jimmy Fallon,Gisele Bündchen,Tim Story,Taxi,Thriller Action Comedy Crime,Queen Latifah Jimmy Fallon Gisele Bündchen Tim Story Thriller Action Comedy Crime
11046,Richard Burton,Clint Eastwood,Mary Ure,Brian G. Hutton,Where Eagles Dare,Adventure Drama Action History War,Richard Burton Clint Eastwood Mary Ure Brian G. Hutton Adventure Drama Action History War
11047,Roger Carel,Jacques Morel,Jacques Jouanneau,Ray Goossens,Astérix le Gaulois,Family Animation Adventure Comedy,Roger Carel Jacques Morel Jacques Jouanneau Ray Goossens Family Animation Adventure Comedy
11048,Bud Spencer,Adalberto Maria Merli,Raymond Pellegrin,Steno,Piedone lo sbirro,Action Comedy Crime Drama,Bud Spencer Adalberto Maria Merli Raymond Pellegrin Steno Action Comedy Crime Drama
11050,Shirley MacLaine,Debra Winger,Jack Nicholson,James L. Brooks,Terms of Endearment,Drama Comedy,Shirley MacLaine Debra Winger Jack Nicholson James L. Brooks Drama Comedy
11051,Willem Dafoe,Harvey Keitel,Barbara Hershey,Martin Scorsese,The Last Temptation of Christ,Drama,Willem Dafoe Harvey Keitel Barbara Hershey Martin Scorsese Drama
11053,Bud Spencer,Al Lettieri,Enzo Cannavale,Steno,Piedone a Hong Kong,Action Comedy Thriller Drama,Bud Spencer Al Lettieri Enzo Cannavale Steno Action Comedy Thriller Drama
11054,Sonny Bono,Ruth Brown,Divine,John Waters,Hairspray,Comedy Family Music,Sonny Bono Ruth Brown Divine John Waters Comedy Family Music
11055,Bud Spencer,Enzo Cannavale,Werner Pochath,Steno,Piedone l'africano,Action Comedy Crime Drama,Bud Spencer Enzo Cannavale Werner Pochath Steno Action Comedy Crime Drama
11056,Anna Paquin,Lena Olin,Iain Glen,Jaume Balagueró,Darkness,Horror,Anna Paquin Lena Olin Iain Glen Jaume Balagueró Horror
11057,Lena Stolze,Wulf Kessler,Oliver Siebert,Michael Verhoeven,Die weisse Rose,Drama History,Lena Stolze Wulf Kessler Oliver Siebert Michael Verhoeven Drama History
11058,Greg Kinnear,Rebecca Romijn,Robert De Niro,Nick Hamm,Godsend,Drama Horror Sci-Fi Thriller,Greg Kinnear Rebecca Romijn Robert De Niro Nick Hamm Drama Horror Sci-Fi Thriller
11059,Jonathan Cherry,Tyron Leitso,Clint Howard,Uwe Boll,House of the Dead,Horror Action Thriller,Jonathan Cherry Tyron Leitso Clint Howard Uwe Boll Horror Action Thriller
11060,Richard Gere,Andy García,Laurie Metcalf,Mike Figgis,Internal Affairs,Crime Drama,Richard Gere Andy García Laurie Metcalf Mike Figgis Crime Drama
11062,Al Pacino,John Cusack,Bridget Fonda,Harold Becker,City Hall,Drama Thriller,Al Pacino John Cusack Bridget Fonda Harold Becker Drama Thriller
11064,Richard Pryor,John Candy,Lonette McKee,Walter Hill,Brewster's Millions,Comedy,Richard Pryor John Candy Lonette McKee Walter Hill Comedy
11065,Mekhi Phifer,Josh Hartnett,Andrew Keegan,Tim Blake Nelson,O,Drama Romance Thriller,Mekhi Phifer Josh Hartnett Andrew Keegan Tim Blake Nelson Drama Romance Thriller
11066,Eddie Murphy,Robin Givens,Halle Berry,Reginald Hudlin,Boomerang,Comedy Romance,Eddie Murphy Robin Givens Halle Berry Reginald Hudlin Comedy Romance
11067,Charlie Sheen,Tom Berenger,Corbin Bernsen,David S. Ward,Major League II,Comedy,Charlie Sheen Tom Berenger Corbin Bernsen David S. Ward Comedy
11068,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Cameron Crowe,Singles,Comedy Drama Romance,Bridget Fonda Campbell Scott Kyra Sedgwick Cameron Crowe Comedy Drama Romance
11069,Fred Ward,Chris Gartin,Helen Shaver,S. S. Wilson,Tremors 2: Aftershocks,Horror Action Comedy Sci-Fi,Fred Ward Chris Gartin Helen Shaver S. S. Wilson Horror Action Comedy Sci-Fi
11070,Gruschenka Stevens,Tim Bergmann,Jasmin Tabatabai,Ralf Huettner,Mondscheintarif,Comedy,Gruschenka Stevens Tim Bergmann Jasmin Tabatabai Ralf Huettner Comedy
11071,James Whitmore,James Arness,Joan Weldon,Gordon Douglas,Them!,Sci-Fi Mystery Horror,James Whitmore James Arness Joan Weldon Gordon Douglas Sci-Fi Mystery Horror
11072,Cleavon Little,Gene Wilder,Harvey Korman,Mel Brooks,Blazing Saddles,Western Comedy,Cleavon Little Gene Wilder Harvey Korman Mel Brooks Western Comedy
11074,Bruce Willis,Sarah Jessica Parker,Dennis Farina,Rowdy Herrington,Striking Distance,Crime Action Mystery Thriller,Bruce Willis Sarah Jessica Parker Dennis Farina Rowdy Herrington Crime Action Mystery Thriller
11075,Ryo Ishibashi,Eihi Shiina,Jun Kunimura,Takashi Miike,オーディション,Mystery Drama Horror Thriller,Ryo Ishibashi Eihi Shiina Jun Kunimura Takashi Miike Mystery Drama Horror Thriller
11076,Jeff Daniels,Anna Paquin,Dana Delany,Carroll Ballard,Fly Away Home,Action Adventure Drama Family,Jeff Daniels Anna Paquin Dana Delany Carroll Ballard Action Adventure Drama Family
11077,John Ritter,Jack Warden,Michael Oliver,Dennis Dugan,Problem Child,Comedy,John Ritter Jack Warden Michael Oliver Dennis Dugan Comedy
11078,Martin Lawrence,Steve Zahn,Colm Feore,Dennis Dugan,National Security,Action Comedy Crime Thriller,Martin Lawrence Steve Zahn Colm Feore Dennis Dugan Action Comedy Crime Thriller
11081,Angelina Jolie,Ethan Hawke,Kiefer Sutherland,D.J. Caruso,Taking Lives,Action Crime Mystery Thriller,Angelina Jolie Ethan Hawke Kiefer Sutherland D.J. Caruso Action Crime Mystery Thriller
11082,Demi Moore,Michael Biehn,Jürgen Prochnow,Carl Schultz,The Seventh Sign,Horror Thriller Mystery Fantasy,Demi Moore Michael Biehn Jürgen Prochnow Carl Schultz Horror Thriller Mystery Fantasy
11083,Joachim Calmeyer,Tomas Norström,Bjørn Floberg,Bent Hamer,Salmer fra kjøkkenet,Drama Comedy,Joachim Calmeyer Tomas Norström Bjørn Floberg Bent Hamer Drama Comedy
11084,Nelly Frijda,Coen van Vrijberghe de Coningh,Stefan de Walle,Dick Maas,Flodder 3,Comedy,Nelly Frijda Coen van Vrijberghe de Coningh Stefan de Walle Dick Maas Comedy
11086,Jim Carrey,Martin Landau,Laurie Holden,Frank Darabont,The Majestic,Drama Romance,Jim Carrey Martin Landau Laurie Holden Frank Darabont Drama Romance
11087,Annabella Sciorra,Rebecca De Mornay,Matt McCoy,Curtis Hanson,The Hand that Rocks the Cradle,Thriller,Annabella Sciorra Rebecca De Mornay Matt McCoy Curtis Hanson Thriller
11088,Gene Hackman,Danny DeVito,Delroy Lindo,David Mamet,Heist,Action Crime Drama Thriller,Gene Hackman Danny DeVito Delroy Lindo David Mamet Action Crime Drama Thriller
11089,Traudl Herrhausen,Rainer Grams,Werner Grams,Andres Veiel,Black Box BRD,Documentary,Traudl Herrhausen Rainer Grams Werner Grams Andres Veiel Documentary
11090,Rob Schneider,Colleen Haskell,John C. McGinley,Luke Greenfield,The Animal,Action Comedy,Rob Schneider Colleen Haskell John C. McGinley Luke Greenfield Action Comedy
11091,Drew Barrymore,Steve Zahn,Adam Garcia,Penny Marshall,Riding in Cars with Boys,Comedy Drama Romance,Drew Barrymore Steve Zahn Adam Garcia Penny Marshall Comedy Drama Romance
11092,Harrison Ford,Brian Dennehy,Raúl Juliá,Alan J. Pakula,Presumed Innocent,Drama Thriller Crime Mystery,Harrison Ford Brian Dennehy Raúl Juliá Alan J. Pakula Drama Thriller Crime Mystery
